name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
aardvark-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
antelope-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
bass-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
bear-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
boar-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
buffalo-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
calf-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
carp-fish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
catfish-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
cavy-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0
cheetah-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
chicken-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
chub-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
crow-bird,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
deer-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
dogfish-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
dolphin-mammal,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
dove-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
duck-bird,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0
elephant-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
flamingo-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1
flea-bug,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
fruitbat-mammal,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
giraffe-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
girl-mammal,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1
gnat-bug,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
goat-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
gorilla-mammal,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1
gull-bird,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
haddock-fish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
hamster-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0
hare-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
hawk-bird,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
herring-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
honeybee-bug,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0
housefly-bug,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
kiwi-bird,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0
ladybird-bug,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0
lark-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
leopard-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
lion-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
lynx-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
mink-mammal,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1
mole-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
mongoose-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
moth-bug,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
opossum-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
oryx-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
ostrich-bird,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1
parakeet-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
penguin-bird,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1
pheasant-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
pike-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
piranha-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
pitviper-reptile,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
platypus-mammal,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1
polecat-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
pony-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
porpoise-mammal,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
puma-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
pussycat-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1
raccoon-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
reindeer-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
rhea-bird,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1
seahorse-fish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
seal-mammal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1
sealion-mammal,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1
seasnake-reptile,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
skimmer-bird,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
skua-bird,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
slowworm-reptile,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
sole-fish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
sparrow-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
squirrel-mammal,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0
stingray-fish,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1
swan-bird,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1
termite-bug,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
tortoise-reptile,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1
tuatara-reptile,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0
tuna-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
vampire-mammal,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
vole-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
vulture-bird,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1
wallaby-mammal,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
wasp-bug,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0
wolf-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
wren-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
